,Year,region,mode,technology,value
0,2005,Africa_Western,Domestic Aviation,Liquids,0.0276068
1,2005,Africa_Western,International Aviation,Liquids,0.0343589
2,2005,Brazil,Domestic Aviation,Liquids,0.0696752
3,2005,Brazil,International Aviation,Liquids,0.0856171
4,2005,China,Domestic Aviation,Liquids,0.326841
5,2005,China,International Aviation,Liquids,0.291787
6,2005,India,Domestic Aviation,Liquids,0.0734839
7,2005,India,International Aviation,Liquids,0.0734782
8,2005,South Asia,Domestic Aviation,Liquids,0.0050065000000000005
9,2005,South Asia,International Aviation,Liquids,0.0805564
10,2010,Africa_Western,Domestic Aviation,Liquids,0.0380677
11,2010,Africa_Western,International Aviation,Liquids,0.0473783
12,2010,Brazil,Domestic Aviation,Liquids,0.0974514
13,2010,Brazil,International Aviation,Liquids,0.119749
14,2010,China,Domestic Aviation,Liquids,0.54237
15,2010,China,International Aviation,Liquids,0.376881
16,2010,India,Domestic Aviation,Liquids,0.113229
17,2010,India,International Aviation,Liquids,0.113221
18,2010,South Asia,Domestic Aviation,Liquids,0.0044462
19,2010,South Asia,International Aviation,Liquids,0.0715432
20,2015,Africa_Western,Domestic Aviation,Liquids,0.0363003
21,2015,Africa_Western,International Aviation,Liquids,0.0451786
22,2015,Brazil,Domestic Aviation,Liquids,0.114372
23,2015,Brazil,International Aviation,Liquids,0.140541
24,2015,China,Domestic Aviation,Liquids,0.843286
25,2015,China,International Aviation,Liquids,0.505212
26,2015,India,Domestic Aviation,Liquids,0.139621
27,2015,India,International Aviation,Liquids,0.139611
28,2015,South Asia,Domestic Aviation,Liquids,0.004999
29,2015,South Asia,International Aviation,Liquids,0.0804369
30,2020,Africa_Western,Domestic Aviation,Liquids,0.0523037
31,2020,Africa_Western,International Aviation,Liquids,0.0597526
32,2020,Brazil,Domestic Aviation,Liquids,0.134455
33,2020,Brazil,International Aviation,Liquids,0.161355
34,2020,China,Domestic Aviation,Liquids,1.37676
35,2020,China,International Aviation,Liquids,0.702585
36,2020,India,Domestic Aviation,Liquids,0.217859
37,2020,India,International Aviation,Liquids,0.189974
38,2020,South Asia,Domestic Aviation,Liquids,0.00677794
39,2020,South Asia,International Aviation,Liquids,0.1023101
40,2025,Africa_Western,Domestic Aviation,Liquids,0.0822079
41,2025,Africa_Western,International Aviation,Liquids,0.0763822
42,2025,Brazil,Domestic Aviation,Liquids,0.154559
43,2025,Brazil,International Aviation,Liquids,0.16865
44,2025,China,Domestic Aviation,Liquids,1.94819
45,2025,China,International Aviation,Liquids,0.824466
46,2025,India,Domestic Aviation,Liquids,0.337321
47,2025,India,International Aviation,Liquids,0.236528
48,2025,South Asia,Domestic Aviation,Liquids,0.00967803
49,2025,South Asia,International Aviation,Liquids,0.1237723
50,2030,Africa_Western,Domestic Aviation,Liquids,0.122992
51,2030,Africa_Western,International Aviation,Liquids,0.0970855
52,2030,Brazil,Domestic Aviation,Liquids,0.170243
53,2030,Brazil,International Aviation,Liquids,0.17453
54,2030,China,Domestic Aviation,Liquids,2.41424
55,2030,China,International Aviation,Liquids,0.907302
56,2030,India,Domestic Aviation,Liquids,0.474261
57,2030,India,International Aviation,Liquids,0.283804
58,2030,South Asia,Domestic Aviation,Liquids,0.01312417
59,2030,South Asia,International Aviation,Liquids,0.1479474
60,2035,Africa_Western,Domestic Aviation,BEV,0.000251512
61,2035,Africa_Western,Domestic Aviation,Hydrogen,0.00015272
62,2035,Africa_Western,Domestic Aviation,Liquids,0.1716
63,2035,Africa_Western,International Aviation,BEV,1.53399e-08
64,2035,Africa_Western,International Aviation,Hydrogen,3.05259e-08
65,2035,Africa_Western,International Aviation,Liquids,0.121169
66,2035,Brazil,Domestic Aviation,BEV,0.000333957
67,2035,Brazil,Domestic Aviation,Hydrogen,0.000173287
68,2035,Brazil,Domestic Aviation,Liquids,0.178697
69,2035,Brazil,International Aviation,BEV,3.01741e-08
70,2035,Brazil,International Aviation,Hydrogen,5.27608e-08
71,2035,Brazil,International Aviation,Liquids,0.178674
72,2035,China,Domestic Aviation,BEV,0.00629489
73,2035,China,Domestic Aviation,Hydrogen,0.00305847
74,2035,China,Domestic Aviation,Liquids,2.69526
75,2035,China,International Aviation,BEV,2.18782e-07
76,2035,China,International Aviation,Hydrogen,3.667e-07
77,2035,China,International Aviation,Liquids,0.953387
78,2035,India,Domestic Aviation,BEV,0.000907634
79,2035,India,Domestic Aviation,Hydrogen,0.000680269
80,2035,India,Domestic Aviation,Liquids,0.613709
81,2035,India,International Aviation,BEV,4.74192e-08
82,2035,India,International Aviation,Hydrogen,1.16002e-07
83,2035,India,International Aviation,Liquids,0.331471
84,2035,South Asia,Domestic Aviation,BEV,2.423357e-05
85,2035,South Asia,Domestic Aviation,Hydrogen,1.3731200000000002e-05
86,2035,South Asia,Domestic Aviation,Liquids,0.01677554
87,2035,South Asia,International Aviation,BEV,2.202909e-08
88,2035,South Asia,International Aviation,Hydrogen,4.2098e-08
89,2035,South Asia,International Aviation,Liquids,0.1743113
90,2040,Africa_Western,Domestic Aviation,BEV,0.000931159
91,2040,Africa_Western,Domestic Aviation,Hydrogen,0.000663908
92,2040,Africa_Western,Domestic Aviation,Liquids,0.245158
93,2040,Africa_Western,International Aviation,BEV,1.69961e-07
94,2040,Africa_Western,International Aviation,Hydrogen,7.63714e-07
95,2040,Africa_Western,International Aviation,Liquids,0.158607
96,2040,Brazil,Domestic Aviation,BEV,0.000896038
97,2040,Brazil,Domestic Aviation,Hydrogen,0.000545454
98,2040,Brazil,Domestic Aviation,Liquids,0.195292
99,2040,Brazil,International Aviation,BEV,2.59526e-07
100,2040,Brazil,International Aviation,Hydrogen,1.01712e-06
101,2040,Brazil,International Aviation,Liquids,0.192894
102,2040,China,Domestic Aviation,BEV,0.0170057
103,2040,China,Domestic Aviation,Hydrogen,0.00996104
104,2040,China,Domestic Aviation,Liquids,3.03029
105,2040,China,International Aviation,BEV,1.82084e-06
106,2040,China,International Aviation,Hydrogen,6.94105e-06
107,2040,China,International Aviation,Liquids,1.03337
108,2040,India,Domestic Aviation,BEV,0.00300491
109,2040,India,Domestic Aviation,Hydrogen,0.00271428
110,2040,India,Domestic Aviation,Liquids,0.810888
111,2040,India,International Aviation,BEV,4.65433e-07
112,2040,India,International Aviation,Hydrogen,2.60385e-06
113,2040,India,International Aviation,Liquids,0.403874
114,2040,South Asia,Domestic Aviation,BEV,7.80706e-05
115,2040,South Asia,Domestic Aviation,Hydrogen,5.3235e-05
116,2040,South Asia,Domestic Aviation,Liquids,0.02231723
117,2040,South Asia,International Aviation,BEV,2.174289e-07
118,2040,South Asia,International Aviation,Hydrogen,9.57206e-07
119,2040,South Asia,International Aviation,Liquids,0.2169315
120,2045,Africa_Western,Domestic Aviation,BEV,0.00330297
121,2045,Africa_Western,Domestic Aviation,Hydrogen,0.00277509
122,2045,Africa_Western,Domestic Aviation,Liquids,0.344624
123,2045,Africa_Western,International Aviation,BEV,1.78098e-06
124,2045,Africa_Western,International Aviation,Hydrogen,1.44346e-05
125,2045,Africa_Western,International Aviation,Liquids,0.206367
126,2045,Brazil,Domestic Aviation,BEV,0.00234046
127,2045,Brazil,Domestic Aviation,Hydrogen,0.00166395
128,2045,Brazil,Domestic Aviation,Liquids,0.20897
129,2045,Brazil,International Aviation,BEV,2.14523e-06
130,2045,Brazil,International Aviation,Hydrogen,1.49805e-05
131,2045,Brazil,International Aviation,Liquids,0.206239
132,2045,China,Domestic Aviation,BEV,0.0426995
133,2045,China,Domestic Aviation,Hydrogen,0.0303541
134,2045,China,Domestic Aviation,Liquids,3.2807
135,2045,China,International Aviation,BEV,1.40254e-05
136,2045,China,International Aviation,Hydrogen,9.79585e-05
137,2045,China,International Aviation,Liquids,1.09745
138,2045,India,Domestic Aviation,BEV,0.00918217
139,2045,India,Domestic Aviation,Hydrogen,0.00984616
140,2045,India,Domestic Aviation,Liquids,1.03861
141,2045,India,International Aviation,BEV,4.19436e-06
142,2045,India,International Aviation,Hydrogen,4.23133e-05
143,2045,India,International Aviation,Liquids,0.484088
144,2045,South Asia,Domestic Aviation,BEV,0.0002331295
145,2045,South Asia,Domestic Aviation,Hydrogen,0.0001900941
146,2045,South Asia,Domestic Aviation,Liquids,0.029311200000000003
147,2045,South Asia,International Aviation,BEV,1.970214e-06
148,2045,South Asia,International Aviation,Hydrogen,1.5818950000000002e-05
149,2045,South Asia,International Aviation,Liquids,0.268136
150,2050,Africa_Western,Domestic Aviation,BEV,0.010404
151,2050,Africa_Western,Domestic Aviation,Hydrogen,0.0101977
152,2050,Africa_Western,Domestic Aviation,Liquids,0.46939
153,2050,Africa_Western,International Aviation,BEV,1.66344e-05
154,2050,Africa_Western,International Aviation,Hydrogen,0.000199342
155,2050,Africa_Western,International Aviation,Liquids,0.265496
156,2050,Brazil,Domestic Aviation,BEV,0.00569944
157,2050,Brazil,Domestic Aviation,Hydrogen,0.00462732
158,2050,Brazil,Domestic Aviation,Liquids,0.216766
159,2050,Brazil,International Aviation,BEV,1.64955e-05
160,2050,Brazil,International Aviation,Hydrogen,0.000166699
161,2050,Brazil,International Aviation,Liquids,0.218074
162,2050,China,Domestic Aviation,BEV,0.0982843
163,2050,China,Domestic Aviation,Hydrogen,0.0827038
164,2050,China,Domestic Aviation,Liquids,3.38358
165,2050,China,International Aviation,BEV,9.94299e-05
166,2050,China,International Aviation,Hydrogen,0.00103408
167,2050,China,International Aviation,Liquids,1.13875
168,2050,India,Domestic Aviation,BEV,0.0255493
169,2050,India,Domestic Aviation,Hydrogen,0.0311251
170,2050,India,Domestic Aviation,Liquids,1.27494
