,region,Year,value
0,Africa_Western,1975,23.04640955
1,Africa_Western,1990,31.337275607000002
2,Africa_Western,2005,33.957779114710014
3,Africa_Western,2010,37.93840924537
4,Africa_Western,2015,51.06993825078001
5,Africa_Western,2020,71.8371420833219
6,Africa_Western,2025,81.79087111071526
7,Africa_Western,2030,94.4080795981248
8,Africa_Western,2035,106.8017273666081
9,Africa_Western,2040,123.34404866412882
10,Africa_Western,2045,146.1956334618907
11,Africa_Western,2050,171.33888099520598
12,Africa_Western,2055,193.53121852777343
13,Africa_Western,2060,209.89512587749988
14,Africa_Western,2065,216.18215126449022
15,Africa_Western,2070,212.1565349012656
16,Africa_Western,2075,202.06918698332888
17,Africa_Western,2080,191.35666035954813
18,Africa_Western,2085,176.59237935558977
19,Africa_Western,2090,160.129610652433
20,Africa_Western,2095,143.70362276039083
21,Africa_Western,2100,127.08568256627188
22,Brazil,1975,27.9973684
23,Brazil,1990,60.664018178000006
24,Brazil,2005,99.05170058000002
25,Brazil,2010,117.184909853
26,Brazil,2015,138.99048514000003
27,Brazil,2020,145.19193230709996
28,Brazil,2025,144.91160730149994
29,Brazil,2030,128.7413374960001
30,Brazil,2035,103.8698807774001
31,Brazil,2040,81.79567369189988
32,Brazil,2045,59.9421316031803
33,Brazil,2050,40.64192470390027
34,Brazil,2055,21.960087603255804
35,Brazil,2060,1.9595072781912461
36,Brazil,2065,-26.27316699128304
37,Brazil,2070,-57.66426161488019
38,Brazil,2075,-77.97877017819697
39,Brazil,2080,-91.99719217625854
40,Brazil,2085,-104.2950442396343
41,Brazil,2090,-116.80018848188864
42,Brazil,2095,-130.33861928414012
43,Brazil,2100,-146.9156646142987
44,China,1975,198.43354267
45,China,1990,704.3086215789605
46,China,2005,1834.7188940693004
47,China,2010,2646.823843901002
48,China,2015,3044.986753132
49,China,2020,3640.805751836603
50,China,2025,3488.2622777493016
51,China,2030,3073.7648872459954
52,China,2035,2454.598913421001
53,China,2040,1920.519324225998
54,China,2045,1433.5891237459982
55,China,2050,1053.8356240436012
56,China,2055,774.3029997016993
57,China,2060,541.9693004058813
58,China,2065,332.52130103583914
59,China,2070,166.95618359864878
60,China,2075,21.403646682027983
61,China,2080,-126.11747715396358
62,China,2085,-284.55450168739407
63,China,2090,-444.85463220171323
64,China,2095,-586.3587646074727
65,China,2100,-669.5147196146211
66,India,1975,34.41649250999999
67,India,1990,163.18165183716002
68,India,2005,340.1312364533
69,India,2010,494.87998991100017
70,India,2015,627.89809054
71,India,2020,729.8204346815601
72,India,2025,780.1248254396901
73,India,2030,774.9534821179398
74,India,2035,704.9066575518206
75,India,2040,638.3161053107897
76,India,2045,545.8820523361268
77,India,2050,461.2745735058429
78,India,2055,404.23611355682675
79,India,2060,359.94882171017537
80,India,2065,322.7803373844276
81,India,2070,293.31892408770346
82,India,2075,266.30525493893816
83,India,2080,240.64548579555162
84,India,2085,214.42412876814853
85,India,2090,184.92759676051944
86,India,2095,155.23412085300362
87,India,2100,127.35625382428596
88,South Asia,1975,6.808593684
89,South Asia,1990,25.267152556230002
90,South Asia,2005,54.371338558845
91,South Asia,2010,67.05713551195102
92,South Asia,2015,85.007408075548
93,South Asia,2020,99.74097615089002
94,South Asia,2025,101.3264491077379
95,South Asia,2030,104.78106849619923
96,South Asia,2035,103.05493162926598
97,South Asia,2040,101.5632629402327
98,South Asia,2045,102.57054117889912
99,South Asia,2050,103.86117285821402
100,South Asia,2055,106.11355728589021
101,South Asia,2060,106.06447226016313
102,South Asia,2065,103.76753924925498
103,South Asia,2070,99.71059749617675
104,South Asia,2075,95.14263275700725
105,South Asia,2080,90.07796020953137
106,South Asia,2085,83.68971725883316
107,South Asia,2090,76.35104799554868
108,South Asia,2095,68.75579925077395
109,South Asia,2100,61.28279070134636
