,Year,fuel,value
0,1975,non-renewable,6.9656588820000005
1,1975,renewable,1.9459950999999998
2,1990,non-renewable,38.841369760000006
3,1990,renewable,27.039708427061644
4,2005,non-renewable,91.83198991
5,2005,renewable,35.02718183776257
6,2010,non-renewable,129.87467147
7,2010,renewable,40.65035111058499
8,2015,non-renewable,154.74934428190002
9,2015,renewable,48.03017555549302
10,2020,non-renewable,184.6110783
11,2020,renewable,56.077066710291184
12,2025,non-renewable,186.51754554000001
13,2025,renewable,86.89666549987987
14,2030,non-renewable,179.41618730000002
15,2030,renewable,131.57434192190019
16,2035,non-renewable,164.27284909999997
17,2035,renewable,184.181588649752
18,2040,non-renewable,153.1876487
19,2040,renewable,230.01133617171448
20,2045,non-renewable,141.3396715
21,2045,renewable,266.12956538526817
22,2050,non-renewable,129.8584535
23,2050,renewable,293.5560931738854
24,2055,non-renewable,119.4632971
25,2055,renewable,313.83903616926483
26,2060,non-renewable,109.0057241
27,2060,renewable,332.92601673311435
28,2065,non-renewable,97.72799759999998
29,2065,renewable,350.1033059318887
30,2070,non-renewable,87.2724981
31,2070,renewable,359.44132618299136
32,2075,non-renewable,77.87938582
33,2075,renewable,363.9055659913616
34,2080,non-renewable,69.07791544
35,2080,renewable,365.82562216446365
36,2085,non-renewable,60.69706420000001
37,2085,renewable,364.77203988712193
38,2090,non-renewable,52.66477037
39,2090,renewable,360.7595363260407
40,2095,non-renewable,44.864632699000005
41,2095,renewable,355.2698969108929
42,2100,non-renewable,37.753889138
43,2100,renewable,348.4076722401375
