,Year,fuel,value
0,1975,non-renewable,6.9656588820000005
1,1975,renewable,1.9459950999999998
2,1990,non-renewable,38.841369760000006
3,1990,renewable,27.039708427061644
4,2005,non-renewable,91.83198991
5,2005,renewable,35.02718183776257
6,2010,non-renewable,129.87467147
7,2010,renewable,40.65035111058499
8,2015,non-renewable,154.74921228190001
9,2015,renewable,48.030165815527894
10,2020,non-renewable,191.12615523000002
11,2020,renewable,56.48716526311057
12,2025,non-renewable,215.21854349999998
13,2025,renewable,75.00090410263562
14,2030,non-renewable,232.85323429999997
15,2030,renewable,96.46683983378989
16,2035,non-renewable,245.67887230000005
17,2035,renewable,117.89189882475593
18,2040,non-renewable,256.1935897
19,2040,renewable,139.52068982644363
20,2045,non-renewable,265.30953989999995
21,2045,renewable,159.63246165843043
22,2050,non-renewable,273.04774640000005
23,2050,renewable,176.1239314479567
24,2055,non-renewable,281.58100729999995
25,2055,renewable,188.74180516463701
26,2060,non-renewable,291.73467760000005
27,2060,renewable,198.37442897946502
28,2065,non-renewable,301.4666531
29,2065,renewable,206.75712858078322
30,2070,non-renewable,311.40280199999995
31,2070,renewable,213.87875065843818
32,2075,non-renewable,318.63760400000007
33,2075,renewable,220.40765480372974
34,2080,non-renewable,316.7596889999999
35,2080,renewable,229.90447621147996
36,2085,non-renewable,316.123725
37,2085,renewable,237.13963548083103
38,2090,non-renewable,316.08234699999997
39,2090,renewable,242.36261361212198
40,2095,non-renewable,316.052451
41,2095,renewable,245.9709962759282
42,2100,non-renewable,317.06253000000004
43,2100,renewable,248.3847204458203
