,sector,region,scenario,Year,value
0,,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2010,-2.388889255024956e-10
1,,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2035,-1.7657787528455968e-08
2,,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2060,-2.0441913511713689e-07
3,,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2065,-3.643165338171936e-07
4,,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2085,-8.107974236755612e-09
5,,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2010,-6.350772553940793e-08
6,,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2030,-1.4470539725e-06
7,,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2035,-5.244907559165769e-07
8,,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2045,-2.7411012728e-06
9,,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2075,-1.0748208994e-06
10,,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2085,-1.5398781222194428e-08
11,,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2090,-2.4903176638070086e-08
12,,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2095,-3.4050982477365375e-08
13,,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2100,-4.7137379608897915e-09
14,,China,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2005,-1.5340281394e-06
15,,China,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2030,-1.82504915735e-05
16,,China,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2035,-9.87149692762e-05
17,,China,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2050,-0.0001144824473503
18,,China,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2055,-4.73738177734e-05
19,,China,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2060,-2.53996020155e-05
20,,China,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2080,-2.5984996113e-06
21,,China,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2095,-3.3718866758185626e-08
22,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2010,-1.6831346386570769e-07
23,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2015,-4.4915909436843226e-07
24,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2045,-8.5132630745e-06
25,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2050,-7.0723559606e-06
26,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2060,-4.3331842413e-06
27,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2065,-2.0353473676e-06
28,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2070,-3.2717067274e-06
29,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2075,-2.296088626630289e-07
30,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2080,-4.4372187794314535e-08
31,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2085,-5.944557281828612e-08
32,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2095,-1.684150194889512e-08
33,,India,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2100,-1.5464472010969256e-09
34,,South Asia,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2005,-1.123857962552257e-08
35,,South Asia,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",2015,-1.4378033153683393e-07
