,Year,fuel,value
0,1975,non-renewable,6.835357400000001
1,1975,renewable,1.9459951999999998
2,1990,non-renewable,35.80737646
3,1990,renewable,27.039708073305558
4,2005,non-renewable,77.89464929999998
5,2005,renewable,35.027183934554735
6,2010,non-renewable,104.96093226999999
7,2010,renewable,40.65035165047945
8,2015,non-renewable,115.59245789
9,2015,renewable,48.03090717117018
10,2020,non-renewable,132.74630648
11,2020,renewable,56.70155712899432
12,2025,non-renewable,128.51986757
13,2025,renewable,87.8111603040137
14,2030,non-renewable,117.46435558999998
15,2030,renewable,134.6623873830319
16,2035,non-renewable,102.14918480000001
17,2035,renewable,191.17263041061491
18,2040,non-renewable,89.2560242
19,2040,renewable,240.9184452535921
20,2045,non-renewable,76.920184
21,2045,renewable,280.0115136795689
22,2050,non-renewable,67.17936739999999
23,2050,renewable,308.5476956284149
24,2055,non-renewable,60.1528863
25,2055,renewable,327.7484202363423
26,2060,non-renewable,53.9008066
27,2060,renewable,345.0431361757867
28,2065,non-renewable,47.07327709999999
29,2065,renewable,361.7889462650755
30,2070,non-renewable,43.51829515599999
31,2070,renewable,371.05981518111895
32,2075,non-renewable,39.32454652300001
33,2075,renewable,375.42144383661997
34,2080,non-renewable,34.604061322
35,2080,renewable,377.8588539297494
36,2085,non-renewable,29.916560405000002
37,2085,renewable,376.9689021109932
38,2090,non-renewable,25.618311956000003
39,2090,renewable,372.26955480723694
40,2095,non-renewable,21.493317682999997
41,2095,renewable,365.9281661581217
42,2100,non-renewable,17.977504069000002
43,2100,renewable,357.35509326626783
