,Year,fuel,value
0,1975,non-renewable,6.835357400000001
1,1975,renewable,1.9459951999999998
2,1990,non-renewable,35.80737646
3,1990,renewable,27.039708073305558
4,2005,non-renewable,77.89464929999998
5,2005,renewable,35.027183934554735
6,2010,non-renewable,104.96093226999999
7,2010,renewable,40.65035165047945
8,2015,non-renewable,115.59245789
9,2015,renewable,48.03090717117018
10,2020,non-renewable,136.77087121999998
11,2020,renewable,57.14485711503333
12,2025,non-renewable,148.34099579999997
13,2025,renewable,75.63498692107457
14,2030,non-renewable,154.69788860000003
15,2030,renewable,97.36232633967715
16,2035,non-renewable,158.4202578
17,2035,renewable,119.40089608445929
18,2040,non-renewable,159.9196409
19,2040,renewable,142.01218735571024
20,2045,non-renewable,159.0967634
21,2045,renewable,163.16429360130053
22,2050,non-renewable,156.9936552
23,2050,renewable,180.7279617950011
24,2055,non-renewable,154.18761189999998
25,2055,renewable,194.42059151458233
26,2060,non-renewable,152.1191933
27,2060,renewable,204.67646281678205
28,2065,non-renewable,150.4770858
29,2065,renewable,214.25605779242045
30,2070,non-renewable,148.40803199999996
31,2070,renewable,222.32086634584863
32,2075,non-renewable,144.4742019
33,2075,renewable,229.58807693356235
34,2080,non-renewable,136.1667699
35,2080,renewable,239.740575072207
36,2085,non-renewable,129.2692869
37,2085,renewable,247.06876323307455
38,2090,non-renewable,123.73231589999997
39,2090,renewable,252.1391301723644
40,2095,non-renewable,119.36735790000002
41,2095,renewable,255.54182356996526
42,2100,non-renewable,116.23045690000002
43,2100,renewable,257.16092293901204
