,Year,region,value
0,2020,Africa_Western,1.63825241e-05
1,2020,Brazil,3.3480635969999994
2,2020,China,3.3192701999999997e-19
3,2020,India,0.54690997
4,2020,South Asia,4.762447e-21
5,2030,Africa_Western,5.796848295587998
6,2030,Brazil,17.912340493240002
7,2030,China,71.1985521869
8,2030,India,23.5396446926
9,2030,South Asia,2.97154414242
10,2050,Africa_Western,24.46919956231
11,2050,Brazil,34.0005198896
12,2050,China,98.2038816662
13,2050,India,60.87408663909998
14,2050,South Asia,4.038392080022
15,2085,Africa_Western,24.143235904400008
16,2085,Brazil,32.59441456428001
17,2085,China,155.6561325147
18,2085,India,40.352424046155
19,2085,South Asia,2.2239975043592595
