region,Year,technology,value
Africa_Western,2020,Electric,0.0068849
Africa_Western,2030,BEV,29.5196456392
Africa_Western,2030,Electric,0.023407715
Africa_Western,2030,FCEV,9.905233159999998
Africa_Western,2050,BEV,122.12872498
Africa_Western,2050,Electric,0.18940657
Africa_Western,2050,FCEV,35.3286548
Africa_Western,2085,BEV,328.4116954
Africa_Western,2085,Electric,2.52039186
Africa_Western,2085,FCEV,94.2090667
Brazil,2020,Electric,3.5650673000000004
Brazil,2030,BEV,75.69247177199999
Brazil,2030,Electric,4.051597
Brazil,2030,FCEV,22.733579499999998
Brazil,2050,BEV,88.32612248
Brazil,2050,Electric,5.529323
Brazil,2050,FCEV,30.409300919999996
Brazil,2085,BEV,87.14813668
Brazil,2085,Electric,7.39548
Brazil,2085,FCEV,29.30839173
China,2020,Electric,22.858638
China,2030,BEV,131.12155775899998
China,2030,Electric,13.20307
China,2030,FCEV,68.1789426
China,2050,BEV,223.1277415
China,2050,Electric,11.62379
China,2050,FCEV,104.54567200000001
China,2085,BEV,166.69380599999997
China,2085,Electric,10.283180000000002
China,2085,FCEV,88.953984
India,2020,Electric,12.125456
India,2030,BEV,48.073844643
India,2030,Electric,10.533487
India,2030,FCEV,26.915289229999996
India,2050,BEV,163.78302988000002
India,2050,Electric,11.11846
India,2050,FCEV,58.6112203
India,2085,BEV,246.7265227
India,2085,Electric,12.46558
India,2085,FCEV,71.0150935
South Asia,2020,Electric,0.0073868779999999995
South Asia,2030,BEV,20.8642384147
South Asia,2030,Electric,0.019969021999999996
South Asia,2030,FCEV,10.659638222999998
South Asia,2050,BEV,63.013401749
South Asia,2050,Electric,0.11913068
South Asia,2050,FCEV,26.978399070000002
South Asia,2085,BEV,105.677066732
South Asia,2085,Electric,0.9187111030000001
South Asia,2085,FCEV,32.89062682
