,Year,region,value
0,2030,Africa_Western,0.5887515934178658
1,2030,Brazil,1.7498809568243179
2,2030,China,10.08609665002936
3,2030,India,3.208790146005285
4,2030,South Asia,0.38215512140186486
5,2050,Africa_Western,3.176798239347244
6,2050,Brazil,3.289426360664997
7,2050,China,14.809057200028603
8,2050,India,8.47902562001286
9,2050,South Asia,1.1240203620065679
10,2085,Africa_Western,13.875993615074966
11,2085,Brazil,3.5788874547669676
12,2085,China,10.488838190025477
13,2085,India,10.72487213002762
14,2085,South Asia,2.2166117050150387
