Year,region,value
1975,Africa_Western,14525.2
1975,Brazil,15096.8
1975,China,4466.43
1975,India,3371.59
1975,Pakistan,629.797
1975,South Asia,210.121
1990,Africa_Western,10592.0
1990,Brazil,14451.6
1990,China,19781.8
1990,India,8182.12
1990,Pakistan,1508.08
1990,South Asia,836.651
2005,Africa_Western,9150.11
2005,Brazil,24665.3
2005,China,130443.0
2005,India,27567.4
2005,Pakistan,2015.65
2005,South Asia,3117.93
2010,Africa_Western,27454.0
2010,Brazil,31394.8
2010,China,200982.0
2010,India,34841.3
2010,Pakistan,2147.3
2010,South Asia,5298.98
2015,Africa_Western,23466.2
2015,Brazil,27952.9
2015,China,283926.0
2015,India,49496.7
2015,Pakistan,2159.99
2015,South Asia,7298.64
2020,Africa_Western,56172.9
2020,Brazil,131604.0
2020,China,799963.0
2020,India,180742.0
2020,Pakistan,16471.7
2020,South Asia,16382.0
2025,Africa_Western,67599.6
2025,Brazil,93415.5
2025,China,752820.0
2025,India,229555.0
2025,Pakistan,26713.0
2025,South Asia,24973.7
2030,Africa_Western,85696.5
2030,Brazil,109053.0
2030,China,890077.0
2030,India,282708.0
2030,Pakistan,33147.7
2030,South Asia,29991.7
2035,Africa_Western,108587.0
2035,Brazil,155078.0
2035,China,1312310.0
2035,India,358258.0
2035,Pakistan,43800.6
2035,South Asia,38008.5
2040,Africa_Western,123864.0
2040,Brazil,161729.0
2040,China,1249430.0
2040,India,385481.0
2040,Pakistan,48716.7
2040,South Asia,42402.2
2045,Africa_Western,146549.0
2045,Brazil,145623.0
2045,China,1041800.0
2045,India,402935.0
2045,Pakistan,54570.4
2045,South Asia,44377.8
2050,Africa_Western,175500.0
2050,Brazil,134834.0
2050,China,961294.0
2050,India,413548.0
2050,Pakistan,56307.9
2050,South Asia,45535.8
2055,Africa_Western,198580.0
2055,Brazil,139554.0
2055,China,1010060.0
2055,India,411525.0
2055,Pakistan,50153.4
2055,South Asia,44022.1
2060,Africa_Western,220534.0
2060,Brazil,146474.0
2060,China,1044920.0
2060,India,408458.0
2060,Pakistan,47313.9
2060,South Asia,44658.5
2065,Africa_Western,238334.0
2065,Brazil,145766.0
2065,China,981560.0
2065,India,401472.0
2065,Pakistan,50889.1
2065,South Asia,45301.1
2070,Africa_Western,252269.0
2070,Brazil,136388.0
2070,China,884734.0
2070,India,398794.0
2070,Pakistan,51028.0
2070,South Asia,46261.9
2075,Africa_Western,266920.0
2075,Brazil,128448.0
2075,China,842877.0
2075,India,398150.0
2075,Pakistan,55245.6
2075,South Asia,46985.9
2080,Africa_Western,279935.0
2080,Brazil,124061.0
2080,China,819090.0
2080,India,392820.0
2080,Pakistan,55722.0
2080,South Asia,47032.8
2085,Africa_Western,292909.0
2085,Brazil,123195.0
2085,China,815574.0
2085,India,389475.0
2085,Pakistan,53781.4
2085,South Asia,47998.5
2090,Africa_Western,305011.0
2090,Brazil,119062.0
2090,China,806494.0
2090,India,374757.0
2090,Pakistan,51050.2
2090,South Asia,48059.5
2095,Africa_Western,314726.0
2095,Brazil,114936.0
2095,China,753980.0
2095,India,356435.0
2095,Pakistan,53515.5
2095,South Asia,48082.9
2100,Africa_Western,322498.0
2100,Brazil,111680.0
2100,China,677425.0
2100,India,347240.0
2100,Pakistan,53032.1
2100,South Asia,47870.0
