,Year,region,value
0,1975,Africa_Western,14525.2
1,1975,Brazil,15096.8
2,1975,China,4466.43
3,1975,India,3371.59
4,1975,Pakistan,629.797
5,1975,South Asia,210.121
6,1990,Africa_Western,10592.0
7,1990,Brazil,14451.6
8,1990,China,19781.8
9,1990,India,8182.12
10,1990,Pakistan,1508.08
11,1990,South Asia,836.651
12,2005,Africa_Western,9150.11
13,2005,Brazil,24665.3
14,2005,China,130443.0
15,2005,India,27567.4
16,2005,Pakistan,2015.65
17,2005,South Asia,3117.93
18,2010,Africa_Western,27454.0
19,2010,Brazil,31394.8
20,2010,China,200982.0
21,2010,India,34841.3
22,2010,Pakistan,2147.3
23,2010,South Asia,5298.98
24,2015,Africa_Western,23466.2
25,2015,Brazil,27952.9
26,2015,China,283926.0
27,2015,India,49496.7
28,2015,Pakistan,2159.99
29,2015,South Asia,7298.64
30,2020,Africa_Western,64668.2
31,2020,Brazil,117634.0
32,2020,China,801913.0
33,2020,India,184047.0
34,2020,Pakistan,20365.4
35,2020,South Asia,20471.3
36,2025,Africa_Western,83301.6
37,2025,Brazil,97139.2
38,2025,China,888703.0
39,2025,India,260422.0
40,2025,Pakistan,29395.2
41,2025,South Asia,27842.8
42,2030,Africa_Western,101039.0
43,2030,Brazil,109906.0
44,2030,China,946109.0
45,2030,India,308795.0
46,2030,Pakistan,35238.9
47,2030,South Asia,32142.0
48,2035,Africa_Western,126567.0
49,2035,Brazil,152220.0
50,2035,China,1301810.0
51,2035,India,366916.0
52,2035,Pakistan,44102.1
53,2035,South Asia,38176.7
54,2040,Africa_Western,141090.0
55,2040,Brazil,162100.0
56,2040,China,1252310.0
57,2040,India,402060.0
58,2040,Pakistan,52590.9
59,2040,South Asia,45191.6
60,2045,Africa_Western,174465.0
61,2045,Brazil,153332.0
62,2045,China,1127270.0
63,2045,India,434697.0
64,2045,Pakistan,63230.3
65,2045,South Asia,50742.3
66,2050,Africa_Western,213445.0
67,2050,Brazil,144636.0
68,2050,China,1071280.0
69,2050,India,465664.0
70,2050,Pakistan,68806.4
71,2050,South Asia,54925.9
72,2055,Africa_Western,251356.0
73,2055,Brazil,150273.0
74,2055,China,1123480.0
75,2055,India,499597.0
76,2055,Pakistan,73169.7
77,2055,South Asia,59631.0
78,2060,Africa_Western,298790.0
79,2060,Brazil,158610.0
80,2060,China,1149690.0
81,2060,India,532644.0
82,2060,Pakistan,74786.4
83,2060,South Asia,65408.8
84,2065,Africa_Western,347260.0
85,2065,Brazil,160506.0
86,2065,China,1121510.0
87,2065,India,559835.0
88,2065,Pakistan,83778.0
89,2065,South Asia,70731.4
90,2070,Africa_Western,396072.0
91,2070,Brazil,155335.0
92,2070,China,1055860.0
93,2070,India,567035.0
94,2070,Pakistan,88201.8
95,2070,South Asia,74404.5
96,2075,Africa_Western,446321.0
97,2075,Brazil,154572.0
98,2075,China,1038280.0
99,2075,India,575137.0
100,2075,Pakistan,95748.6
101,2075,South Asia,77342.4
102,2080,Africa_Western,494646.0
103,2080,Brazil,156895.0
104,2080,China,1087390.0
105,2080,India,605074.0
106,2080,Pakistan,100413.0
107,2080,South Asia,80765.6
108,2085,Africa_Western,545194.0
109,2085,Brazil,157546.0
110,2085,China,1063550.0
111,2085,India,617026.0
112,2085,Pakistan,103663.0
113,2085,South Asia,84585.6
114,2090,Africa_Western,592147.0
115,2090,Brazil,155793.0
116,2090,China,1019420.0
117,2090,India,626436.0
118,2090,Pakistan,104590.0
119,2090,South Asia,88425.9
120,2095,Africa_Western,641634.0
121,2095,Brazil,154733.0
122,2095,China,981868.0
123,2095,India,631854.0
124,2095,Pakistan,110863.0
125,2095,South Asia,92993.9
126,2100,Africa_Western,692738.0
127,2100,Brazil,154560.0
128,2100,China,967877.0
129,2100,India,640999.0
130,2100,Pakistan,117100.0
131,2100,South Asia,102852.0
