,region,Year,value
0,Africa_Western,1975,136747.0
1,Africa_Western,1990,167596.0
2,Africa_Western,2005,292856.0
3,Africa_Western,2010,393371.0
4,Africa_Western,2015,499850.0
5,Africa_Western,2020,682176.0
6,Africa_Western,2025,973355.0
7,Africa_Western,2030,1421060.0
8,Africa_Western,2035,2075330.0
9,Africa_Western,2040,2986550.0
10,Africa_Western,2045,4205930.0
11,Africa_Western,2050,5776850.0
12,Africa_Western,2055,7740510.0
13,Africa_Western,2060,10121400.0
14,Africa_Western,2065,12911500.0
15,Africa_Western,2070,16062700.0
16,Africa_Western,2075,19509200.0
17,Africa_Western,2080,23212500.0
18,Africa_Western,2085,27096300.0
19,Africa_Western,2090,31074600.0
20,Africa_Western,2095,35069300.0
21,Africa_Western,2100,38964500.0
22,Brazil,1975,479174.0
23,Brazil,1990,786901.0
24,Brazil,2005,1170820.0
25,Brazil,2010,1457110.0
26,Brazil,2015,1542290.0
27,Brazil,2020,1872350.0
28,Brazil,2025,2244660.0
29,Brazil,2030,2675420.0
30,Brazil,2035,3177780.0
31,Brazil,2040,3725170.0
32,Brazil,2045,4285620.0
33,Brazil,2050,4829840.0
34,Brazil,2055,5358290.0
35,Brazil,2060,5860090.0
36,Brazil,2065,6304790.0
37,Brazil,2070,6688420.0
38,Brazil,2075,7029960.0
39,Brazil,2080,7319590.0
40,Brazil,2085,7551480.0
41,Brazil,2090,7716310.0
42,Brazil,2095,7819640.0
43,Brazil,2100,7857320.0
44,China,1975,182652.0
45,China,1990,620812.0
46,China,2005,2490310.0
47,China,2010,4193840.0
48,China,2015,6072280.0
49,China,2020,8958810.0
50,China,2025,12534600.0
51,China,2030,16579100.0
52,China,2035,20653800.0
53,China,2040,24291100.0
54,China,2045,27339300.0
55,China,2050,29525300.0
56,China,2055,30817300.0
57,China,2060,31554400.0
58,China,2065,31809300.0
59,China,2070,31652100.0
60,China,2075,31095800.0
61,China,2080,30390200.0
62,China,2085,29487200.0
63,China,2090,28479500.0
64,China,2095,27388500.0
65,China,2100,26188900.0
66,India,1975,157355.0
67,India,1990,306659.0
68,India,2005,730410.0
69,India,2010,1088920.0
70,India,2015,1513410.0
71,India,2020,2101680.0
72,India,2025,2925730.0
73,India,2030,4039120.0
74,India,2035,5485530.0
75,India,2040,7216300.0
76,India,2045,9158160.0
77,India,2050,11215800.0
78,India,2055,13346800.0
79,India,2060,15491300.0
80,India,2065,17573900.0
81,India,2070,19499200.0
82,India,2075,21205000.0
83,India,2080,22721100.0
84,India,2085,24024200.0
85,India,2090,25089300.0
86,India,2095,25912800.0
87,India,2100,26475400.0
88,South Asia,1975,46052.0
89,South Asia,1990,101808.0
90,South Asia,2005,197864.0
91,South Asia,2010,251936.0
92,South Asia,2015,323687.0
93,South Asia,2020,422877.0
94,South Asia,2025,567718.0
95,South Asia,2030,774251.0
96,South Asia,2035,1057865.0
97,South Asia,2040,1421852.0
98,South Asia,2045,1863504.0
99,South Asia,2050,2374532.0
100,South Asia,2055,2948470.0
101,South Asia,2060,3575590.0
102,South Asia,2065,4240200.0
103,South Asia,2070,4925200.0
104,South Asia,2075,5610990.0
105,South Asia,2080,6285610.0
106,South Asia,2085,6935820.0
107,South Asia,2090,7554000.0
108,South Asia,2095,8136920.0
109,South Asia,2100,8668240.0
