,region,Year,value
0,Africa_Western,1975,0.0
1,Africa_Western,1990,0.0
2,Africa_Western,2005,0.0
3,Africa_Western,2010,0.0
4,Africa_Western,2015,0.0
5,Africa_Western,2020,0.0
6,Africa_Western,2025,306.343
7,Africa_Western,2030,1569.03
8,Africa_Western,2035,4638.69
9,Africa_Western,2040,8635.42
10,Africa_Western,2045,14072.6
11,Africa_Western,2050,21281.6
12,Africa_Western,2055,30880.4
13,Africa_Western,2060,42001.3
14,Africa_Western,2065,54940.2
15,Africa_Western,2070,72001.5
16,Africa_Western,2075,91372.2
17,Africa_Western,2080,109768.0
18,Africa_Western,2085,130068.0
19,Africa_Western,2090,151682.0
20,Africa_Western,2095,173336.0
21,Africa_Western,2100,197061.0
22,Brazil,1975,0.0
23,Brazil,1990,0.0
24,Brazil,2005,0.0
25,Brazil,2010,0.0
26,Brazil,2015,0.0
27,Brazil,2020,251.763
28,Brazil,2025,780.963
29,Brazil,2030,3318.46
30,Brazil,2035,7994.93
31,Brazil,2040,11469.8
32,Brazil,2045,14822.1
33,Brazil,2050,18242.9
34,Brazil,2055,23118.3
35,Brazil,2060,30471.8
36,Brazil,2065,41403.9
37,Brazil,2070,57117.4
38,Brazil,2075,69403.4
39,Brazil,2080,79237.5
40,Brazil,2085,90231.4
41,Brazil,2090,103527.0
42,Brazil,2095,121322.0
43,Brazil,2100,146527.0
44,China,1975,0.0
45,China,1990,0.0
46,China,2005,0.0
47,China,2010,0.0
48,China,2015,0.0
49,China,2020,0.0
50,China,2025,16567.8
51,China,2030,75575.2
52,China,2035,175152.0
53,China,2040,253446.0
54,China,2045,326064.0
55,China,2050,378297.0
56,China,2055,412104.0
57,China,2060,441920.0
58,China,2065,474784.0
59,China,2070,514022.0
60,China,2075,554652.0
61,China,2080,587845.0
62,China,2085,657728.0
63,China,2090,757659.0
64,China,2095,873866.0
65,China,2100,951637.0
66,India,1975,0.0
67,India,1990,0.0
68,India,2005,0.0
69,India,2010,0.0
70,India,2015,0.0
71,India,2020,54.8344
72,India,2025,4617.29
73,India,2030,20751.2
74,India,2035,51664.1
75,India,2040,81077.0
76,India,2045,115562.0
77,India,2050,147982.0
78,India,2055,172535.0
79,India,2060,191314.0
80,India,2065,204851.0
81,India,2070,218169.0
82,India,2075,229512.0
83,India,2080,231685.0
84,India,2085,235268.0
85,India,2090,240734.0
86,India,2095,249479.0
87,India,2100,260917.0
88,South Asia,1975,0.0
89,South Asia,1990,0.0
90,South Asia,2005,0.0
91,South Asia,2010,0.0
92,South Asia,2015,0.0
93,South Asia,2020,0.0
94,South Asia,2025,474.139
95,South Asia,2030,1898.45
96,South Asia,2035,4877.139999999999
97,South Asia,2040,8013.77
98,South Asia,2045,11174.880000000001
99,South Asia,2050,14579.65
100,South Asia,2055,17856.91
101,South Asia,2060,21257.7
102,South Asia,2065,24151.9
103,South Asia,2070,27431.0
104,South Asia,2075,30838.2
105,South Asia,2080,34394.6
106,South Asia,2085,38982.6
107,South Asia,2090,44630.2
108,South Asia,2095,51153.0
109,South Asia,2100,61161.899999999994
