,Units,scenario,Year,value
0,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",1975,0.0
1,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",1980,0.345863
2,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",1985,0.451742
3,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",1990,0.563683
4,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",1995,0.682267
5,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2000,0.798416
6,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2005,0.898257
7,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2010,1.01416
8,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2015,1.17382
9,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2020,1.31751
10,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2025,1.45894
11,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2030,1.60719
12,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2035,1.75203
13,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2040,1.89395
14,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2045,2.03446
15,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2050,2.17387
16,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2055,2.30996
17,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2060,2.44576
18,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2065,2.58249
19,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2070,2.71979
20,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2075,2.85788
21,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2080,2.9975
22,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2085,3.13639
23,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2090,3.27411
24,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2095,3.41037
25,degreesC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2100,3.54528
