,Year,region,mode,technology,value
2,2005,Australia_NZ,rail,Electric,0.01268107
9,2005,Canada,rail,Electric,0.00359767
17,2005,EU-15,rail,Electric,0.18664381000000002
24,2005,European Free Trade Association,rail,Electric,0.013301319999999998
31,2005,Russia,rail,Electric,0.2093584
37,2005,South Korea,rail,Electric,0.00931178
43,2005,USA,rail,Electric,0.022189499
51,2010,Australia_NZ,rail,Electric,0.013210429999999999
58,2010,Canada,rail,Electric,0.00352548
66,2010,EU-15,rail,Electric,0.17963642
73,2010,European Free Trade Association,rail,Electric,0.012891521
80,2010,Russia,rail,Electric,0.2164403
86,2010,South Korea,rail,Electric,0.00786883
92,2010,USA,rail,Electric,0.022845598999999998
100,2015,Australia_NZ,rail,Electric,0.0207608
107,2015,Canada,rail,Electric,0.00351527
115,2015,EU-15,rail,Electric,0.18826770999999998
122,2015,European Free Trade Association,rail,Electric,0.015428708000000001
129,2015,Russia,rail,Electric,0.2250623
135,2015,South Korea,rail,Electric,0.00796848
141,2015,USA,rail,Electric,0.031251698
148,2020,Australia_NZ,rail,Electric,0.0238233251
156,2020,Canada,rail,Electric,0.005398125100000001
164,2020,EU-15,rail,Electric,0.2529177
172,2020,European Free Trade Association,rail,Electric,0.01859359
180,2020,Russia,rail,Electric,0.33041593
188,2020,South Korea,rail,Electric,0.006287482
196,2020,USA,rail,Electric,0.04657066
204,2025,Australia_NZ,rail,BEV,0.000202737
205,2025,Australia_NZ,rail,Electric,0.0259084228
206,2025,Australia_NZ,rail,FCEV,0.000288065
209,2025,Australia_NZ,road,BEV,0.00801631423
210,2025,Australia_NZ,road,FCEV,0.0017293376687999998
217,2025,Canada,rail,BEV,0.000464161
218,2025,Canada,rail,Electric,0.0057627149
219,2025,Canada,rail,FCEV,0.000647579
222,2025,Canada,road,BEV,0.01463602630329
223,2025,Canada,road,FCEV,0.0017788632726
230,2025,EU-15,rail,BEV,0.000233338
231,2025,EU-15,rail,Electric,0.2582967
232,2025,EU-15,rail,FCEV,0.000538769
235,2025,EU-15,road,BEV,0.05721262737199999
236,2025,EU-15,road,FCEV,0.0133255454437
243,2025,European Free Trade Association,rail,BEV,2.72416e-05
244,2025,European Free Trade Association,rail,Electric,0.01909216
245,2025,European Free Trade Association,rail,FCEV,6.19479e-05
248,2025,European Free Trade Association,road,BEV,0.0022048355382999997
249,2025,European Free Trade Association,road,FCEV,0.0005060035844199999
256,2025,Russia,rail,BEV,0.0028721
257,2025,Russia,rail,Electric,0.329236992
258,2025,Russia,rail,FCEV,0.00413765
261,2025,Russia,road,BEV,0.025533083660747
262,2025,Russia,road,FCEV,0.001879013567
269,2025,South Korea,rail,BEV,6.89862e-06
270,2025,South Korea,rail,Electric,0.006426218
271,2025,South Korea,rail,FCEV,2.13564e-05
274,2025,South Korea,road,BEV,0.0099911043774
275,2025,South Korea,road,FCEV,0.0012822925344000001
282,2025,USA,rail,BEV,0.00680739
283,2025,USA,rail,Electric,0.05169465
284,2025,USA,rail,FCEV,0.00948752
287,2025,USA,road,BEV,0.12670926489
288,2025,USA,road,FCEV,0.015618108000000002
295,2030,Australia_NZ,rail,BEV,0.000898061
296,2030,Australia_NZ,rail,Electric,0.0271253619
