,Year,region,mode,technology,value
2,2005,Australia_NZ,rail,Electric,0.01268107
9,2005,Canada,rail,Electric,0.00359767
17,2005,EU-15,rail,Electric,0.18664381000000002
24,2005,European Free Trade Association,rail,Electric,0.013301319999999998
31,2005,Russia,rail,Electric,0.2093584
37,2005,South Korea,rail,Electric,0.00931178
43,2005,USA,rail,Electric,0.022189499
51,2010,Australia_NZ,rail,Electric,0.013210429999999999
58,2010,Canada,rail,Electric,0.00352548
66,2010,EU-15,rail,Electric,0.17963642
73,2010,European Free Trade Association,rail,Electric,0.012891521
80,2010,Russia,rail,Electric,0.2164403
86,2010,South Korea,rail,Electric,0.00786883
92,2010,USA,rail,Electric,0.022845598999999998
100,2015,Australia_NZ,rail,Electric,0.0207608
107,2015,Canada,rail,Electric,0.00351527
115,2015,EU-15,rail,Electric,0.18826770999999998
122,2015,European Free Trade Association,rail,Electric,0.015428708000000001
129,2015,Russia,rail,Electric,0.2250623
135,2015,South Korea,rail,Electric,0.00796848
141,2015,USA,rail,Electric,0.031251698
148,2020,Australia_NZ,rail,Electric,0.022986842190000002
156,2020,Canada,rail,Electric,0.0037848507
164,2020,EU-15,rail,Electric,0.19959917
172,2020,European Free Trade Association,rail,Electric,0.01662146
180,2020,Russia,rail,Electric,0.265183068
188,2020,South Korea,rail,Electric,0.00894083
196,2020,USA,rail,Electric,0.03479812
204,2025,Australia_NZ,rail,BEV,0.000521647
205,2025,Australia_NZ,rail,Electric,0.0246064159
206,2025,Australia_NZ,rail,FCEV,0.000746942
209,2025,Australia_NZ,road,BEV,0.017478051514301
210,2025,Australia_NZ,road,FCEV,0.0036221566800000004
217,2025,Canada,rail,BEV,0.00130123
218,2025,Canada,rail,Electric,0.0040481186
219,2025,Canada,rail,FCEV,0.00183665
222,2025,Canada,road,BEV,0.029593018205483
223,2025,Canada,road,FCEV,0.0032938408300000003
230,2025,EU-15,rail,BEV,0.000687689
231,2025,EU-15,rail,Electric,0.207129
232,2025,EU-15,rail,FCEV,0.00161975
235,2025,EU-15,road,BEV,0.11213531590516
236,2025,EU-15,road,FCEV,0.0236078045066
243,2025,European Free Trade Association,rail,BEV,5.91942e-05
244,2025,European Free Trade Association,rail,Electric,0.01736068
245,2025,European Free Trade Association,rail,FCEV,0.000139922
248,2025,European Free Trade Association,road,BEV,0.00411285476
249,2025,European Free Trade Association,road,FCEV,0.000871590594
256,2025,Russia,rail,BEV,0.00418212
257,2025,Russia,rail,Electric,0.28627055500000004
258,2025,Russia,rail,FCEV,0.00610299
261,2025,Russia,road,BEV,0.04745452809831
262,2025,Russia,road,FCEV,0.00323382228
269,2025,South Korea,rail,BEV,2.92652e-05
270,2025,South Korea,rail,Electric,0.009429630000000001
271,2025,South Korea,rail,FCEV,9.17759e-05
274,2025,South Korea,road,BEV,0.01953597565
275,2025,South Korea,road,FCEV,0.00181036324
282,2025,USA,rail,BEV,0.00696601
283,2025,USA,rail,Electric,0.03848041
284,2025,USA,rail,FCEV,0.00986629
287,2025,USA,road,BEV,0.21731807171
288,2025,USA,road,FCEV,0.023803696
295,2030,Australia_NZ,rail,BEV,0.00227713
296,2030,Australia_NZ,rail,Electric,0.0245720336
297,2030,Australia_NZ,rail,FCEV,0.00300059
