,Year,region,mode,technology,value
1,2005,Africa_Western,rail,Electric,1.819983e-05
6,2005,Brazil,rail,Electric,0.00378939
12,2005,China,rail,Electric,0.09793389999999999
14,2005,China,road,BEV,0.018440099947
19,2005,India,rail,Electric,0.035649799999999995
25,2005,South Asia,rail,Electric,8.77985e-05
31,2010,Africa_Western,rail,Electric,4.13996e-05
36,2010,Brazil,rail,Electric,0.00550848
42,2010,China,rail,Electric,0.1954304
44,2010,China,road,BEV,0.036797799892
49,2010,India,rail,Electric,0.0475202
55,2010,South Asia,rail,Electric,4.2098800000000004e-05
61,2015,Africa_Western,rail,Electric,4.07995e-05
66,2015,Brazil,rail,Electric,0.00688988
73,2015,China,rail,Electric,0.2861119
75,2015,China,road,BEV,0.05387229985
80,2015,India,rail,Electric,0.0597364
86,2015,South Asia,rail,Electric,4.26988e-05
92,2020,Africa_Western,rail,Electric,5.886003e-05
99,2020,Brazil,rail,Electric,0.022021905999999997
107,2020,China,rail,Electric,0.30799638799999995
109,2020,China,road,BEV,0.0250513
116,2020,India,rail,Electric,0.105979947
124,2020,South Asia,rail,Electric,0.00010167299999999999
132,2025,Africa_Western,rail,BEV,5.83665e-05
133,2025,Africa_Western,rail,Electric,7.43217e-05
134,2025,Africa_Western,rail,FCEV,9.47584e-05
137,2025,Africa_Western,road,BEV,0.005386839224761999
138,2025,Africa_Western,road,FCEV,0.001011588266
144,2025,Brazil,rail,BEV,0.000378682
145,2025,Brazil,rail,Electric,0.025476256
146,2025,Brazil,rail,FCEV,0.00069937
149,2025,Brazil,road,BEV,0.0568954324816
150,2025,Brazil,road,FCEV,0.0071982511200000005
157,2025,China,rail,BEV,0.00736282
158,2025,China,rail,Electric,0.331655356
159,2025,China,rail,FCEV,0.0128716
162,2025,China,road,BEV,0.14131106973519
163,2025,China,road,FCEV,0.01430370196
170,2025,India,rail,BEV,0.000944205
171,2025,India,rail,Electric,0.10886376
172,2025,India,rail,FCEV,0.00176362
175,2025,India,road,BEV,0.0220759451
176,2025,India,road,FCEV,0.0059851714769999995
183,2025,South Asia,rail,BEV,6.55867e-05
184,2025,South Asia,rail,Electric,0.00016268199999999999
185,2025,South Asia,rail,FCEV,6.774e-05
188,2025,South Asia,road,BEV,0.00751601700422
189,2025,South Asia,road,FCEV,0.0014090722930000003
196,2030,Africa_Western,rail,BEV,0.000321211
197,2030,Africa_Western,rail,Electric,9.442669999999999e-05
198,2030,Africa_Western,rail,FCEV,0.000407643
201,2030,Africa_Western,road,BEV,0.020869356838115
202,2030,Africa_Western,road,FCEV,0.006903301081
208,2030,Brazil,rail,BEV,0.00189784
209,2030,Brazil,rail,Electric,0.028971112
210,2030,Brazil,rail,FCEV,0.00272745
213,2030,Brazil,road,BEV,0.1452960200274
214,2030,Brazil,road,FCEV,0.03767871932
221,2030,China,rail,BEV,0.0481469
222,2030,China,rail,Electric,0.31056701000000003
223,2030,China,rail,FCEV,0.0576676
226,2030,China,road,BEV,0.23560117177603002
227,2030,China,road,FCEV,0.06562170538999999
234,2030,India,rail,BEV,0.00560981
235,2030,India,rail,Electric,0.10604097000000001
236,2030,India,rail,FCEV,0.00807531
239,2030,India,road,BEV,0.082956619493
240,2030,India,road,FCEV,0.03426760846
247,2030,South Asia,rail,BEV,0.00028608400000000003
248,2030,South Asia,rail,Electric,0.0002549495
249,2030,South Asia,rail,FCEV,0.000258566
252,2030,South Asia,road,BEV,0.02476793654476
253,2030,South Asia,road,FCEV,0.008317170457
