,Year,region,mode,technology,value
1,2005,Africa_Western,rail,Electric,1.819983e-05
6,2005,Brazil,rail,Electric,0.00378939
12,2005,China,rail,Electric,0.09793389999999999
14,2005,China,road,BEV,0.018440099947
19,2005,India,rail,Electric,0.035649799999999995
25,2005,South Asia,rail,Electric,8.77985e-05
31,2010,Africa_Western,rail,Electric,4.13996e-05
36,2010,Brazil,rail,Electric,0.00550848
42,2010,China,rail,Electric,0.1954304
44,2010,China,road,BEV,0.036797799892
49,2010,India,rail,Electric,0.0475202
55,2010,South Asia,rail,Electric,4.2098800000000004e-05
61,2015,Africa_Western,rail,Electric,4.07995e-05
66,2015,Brazil,rail,Electric,0.00688988
73,2015,China,rail,Electric,0.2861119
75,2015,China,road,BEV,0.05387229985
80,2015,India,rail,Electric,0.0597364
86,2015,South Asia,rail,Electric,4.26988e-05
92,2020,Africa_Western,rail,Electric,5.38501e-05
99,2020,Brazil,rail,Electric,0.008624476399999999
107,2020,China,rail,Electric,0.36253475700000004
109,2020,China,road,BEV,0.0436871
116,2020,India,rail,Electric,0.075061701
124,2020,South Asia,rail,Electric,7.508189e-05
132,2025,Africa_Western,rail,BEV,8.28132e-05
133,2025,Africa_Western,rail,Electric,6.8619e-05
134,2025,Africa_Western,rail,FCEV,0.000136252
137,2025,Africa_Western,road,BEV,0.012834366461489999
138,2025,Africa_Western,road,FCEV,0.00180946439
144,2025,Brazil,rail,BEV,0.000478354
145,2025,Brazil,rail,Electric,0.010251807
146,2025,Brazil,rail,FCEV,0.000887149
149,2025,Brazil,road,BEV,0.0839601742627
150,2025,Brazil,road,FCEV,0.009496385700000002
157,2025,China,rail,BEV,0.0100484
158,2025,China,rail,Electric,0.41940344
159,2025,China,rail,FCEV,0.0180139
162,2025,China,road,BEV,0.2029015130831
163,2025,China,road,FCEV,0.017673471200000002
170,2025,India,rail,BEV,0.00105688
171,2025,India,rail,Electric,0.08805320999999999
172,2025,India,rail,FCEV,0.00197903
175,2025,India,road,BEV,0.019246710251
176,2025,India,road,FCEV,0.004884412029999999
183,2025,South Asia,rail,BEV,7.13735e-05
184,2025,South Asia,rail,Electric,0.00012103959999999999
185,2025,South Asia,rail,FCEV,7.76351e-05
188,2025,South Asia,road,BEV,0.006716076736320001
189,2025,South Asia,road,FCEV,0.001347664584
196,2030,Africa_Western,rail,BEV,0.000449801
197,2030,Africa_Western,rail,Electric,8.38677e-05
198,2030,Africa_Western,rail,FCEV,0.000583966
201,2030,Africa_Western,road,BEV,0.059830273025899994
202,2030,Africa_Western,road,FCEV,0.012438867562000001
208,2030,Brazil,rail,BEV,0.00230969
209,2030,Brazil,rail,Electric,0.011795751
210,2030,Brazil,rail,FCEV,0.00334674
213,2030,Brazil,road,BEV,0.2033375753074
214,2030,Brazil,road,FCEV,0.044505186110000004
221,2030,China,rail,BEV,0.0670864
222,2030,China,rail,Electric,0.4043285
223,2030,China,rail,FCEV,0.0839114
226,2030,China,road,BEV,0.3847572999191
227,2030,China,road,FCEV,0.08249979830000001
234,2030,India,rail,BEV,0.00654703
235,2030,India,rail,Electric,0.093559522
236,2030,India,rail,FCEV,0.00946017
239,2030,India,road,BEV,0.0880358305101
240,2030,India,road,FCEV,0.0316093592
247,2030,South Asia,rail,BEV,0.000338518
248,2030,South Asia,rail,Electric,0.000185422
249,2030,South Asia,rail,FCEV,0.000327322
252,2030,South Asia,road,BEV,0.030150008808230003
253,2030,South Asia,road,FCEV,0.008414515604
