,Units,scenario,region,sector,subsector,technology,Year,value
0,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2005,7.14277
1,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2010,7.50957
2,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2015,7.88367
3,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2020,8.15626
4,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2025,6.81274
5,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2030,6.70734
6,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2035,6.78171
7,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2040,7.38142
8,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2045,8.44386
9,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2050,9.24373
10,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2055,9.65524
11,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2060,9.8139
12,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2065,10.3515
13,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2070,11.5378
14,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2075,13.1136
15,1975$/GJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2080,14.9703
