,Units,scenario,region,sector,subsector,technology,Year,value
0,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2025,0.00125286
1,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2030,0.00822298
2,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2035,0.0190222
3,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2040,0.029571302
4,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2045,0.034867194
5,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2050,0.035771672000000004
6,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2055,0.035444581
7,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2060,0.038941927
8,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2065,0.03749039
9,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2070,0.0271772
10,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2075,0.014845411999999999
11,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2080,0.006744890999999999
12,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2085,0.0027608010000000002
13,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2090,0.0010499119
14,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2095,0.00037363418
15,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2100,0.000122899188
16,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2025,0.00014625
17,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2030,0.001313026
18,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2035,0.007628777
19,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2040,0.018696431
20,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2045,0.029720692
21,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2050,0.0398012792
22,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2055,0.0508914057
23,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2060,0.0542650374
24,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2065,0.051904385000000004
25,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2070,0.04403257000000001
26,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2075,0.03491199
27,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2080,0.028189600000000002
28,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2085,0.023865485
29,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2090,0.02093867
30,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2095,0.018902081
31,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2100,0.017454438000000003
32,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2025,0.00183896
33,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2030,0.00696887
34,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2 central production,coal,coal chemical CCS,2035,0.015960910000000002
