,Units,scenario,region,input,Year,value
0,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2025,0.001124770512
1,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2030,0.007894105107699998
2,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2035,0.028245704515470007
3,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2040,0.057605631546829995
4,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2045,0.08642584088720003
5,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2050,0.11104142864500005
6,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2055,0.12994315691
7,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2060,0.15284302337000003
8,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2065,0.18280932047000004
9,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2070,0.22190587014000004
10,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2075,0.25614558337
11,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2080,0.28542624805999994
12,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2085,0.3147021258
13,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2090,0.34411719839999994
14,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2095,0.3737230116
15,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2100,0.4028090391000001
16,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2025,0.000165309
17,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2030,0.000796561
18,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2035,0.0021840998959
19,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2040,0.003760086442
20,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2045,0.0067199246
21,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2050,0.015107220000000001
22,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2055,0.029212515
23,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2060,0.052988397
24,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2065,0.08698924
25,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2070,0.13214819
26,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2075,0.17767470999999999
27,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2080,0.22201252
28,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2085,0.27274081
29,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2090,0.33330508999999997
30,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2095,0.40268527
31,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,H2,2100,0.47744204
32,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2005,1.819983e-05
33,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2010,4.13996e-05
34,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2015,4.07995e-05
35,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2020,5.911176e-05
36,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2025,0.00541897841291
37,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2030,0.02128198984414
38,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2035,0.056122135530732
39,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2040,0.11871586246676999
40,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2045,0.21030602817741004
41,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2050,0.3366373326149999
42,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2055,0.47366165286
43,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2060,0.6512167796000001
44,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2065,0.8881215036999998
45,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2070,1.1929394783999998
46,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2075,1.5097627840000003
47,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2080,1.8184194054000002
48,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2085,2.1197508098999998
49,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2090,2.4135924361999996
50,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2095,2.6964770960000006
51,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Electricity,2100,2.9546762588000006
52,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Refined Liquids,2005,0.7827326299999999
53,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Refined Liquids,2010,0.93777727
54,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Refined Liquids,2015,1.3124999699999997
55,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Refined Liquids,2020,1.8671350229999997
56,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Refined Liquids,2025,2.1389148042999993
57,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,Refined Liquids,2030,2.4340425103
