,Units,scenario,region,sector,subsector,technology,Year,value
0,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2005,7.14277
1,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2010,7.50957
2,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2015,7.88357
3,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2020,8.22609
4,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2025,6.67006
5,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2030,6.38138
6,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2035,6.20004
7,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2040,6.16718
8,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2045,6.18873
9,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2050,6.42981
10,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2055,6.58249
11,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2060,6.64148
12,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2065,6.69009
13,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2070,6.67506
14,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2075,6.62684
15,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2080,6.57704
16,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2085,6.52469
17,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2090,6.471
18,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2095,6.41275
19,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2100,6.32541
20,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2005,9.767
21,1975$/GJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2 CCS,2010,10.2149
