,Units,scenario,region,sector,subsector,technology,Year,value
0,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2025,0.00123186
1,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2030,0.007231924
2,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2035,0.018610905
3,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2040,0.036743820999999996
4,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2045,0.060829971
5,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2050,0.088061927
6,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2055,0.12082863200000002
7,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2060,0.15977830399999998
8,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2065,0.20367748000000002
9,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2070,0.25315811
10,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2075,0.30708475
11,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2080,0.36405733
12,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2085,0.424344
13,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2090,0.4881538
14,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2095,0.5555378
15,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,biomass,biomass to H2,2100,0.6285853
16,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2025,5.17228e-05
17,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2030,0.0002859664614
18,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2035,0.000605474198
19,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2040,0.001074362305
20,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2045,0.001705432561
21,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2050,0.002545493216
22,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2055,0.003481567965
23,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2060,0.004578811515
24,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2065,0.005744081406
25,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2070,0.00683827418
26,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2075,0.00779773047
27,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2080,0.008676775380000001
28,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2085,0.0095894397
29,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2090,0.0105166212
30,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2095,0.011347094299999999
31,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,electricity,electrolysis,2100,0.012172017700000001
32,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming,2025,0.00722946
33,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming,2030,0.036583370000000004
34,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming,2035,0.08195268
35,EJ,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,H2 central production,gas,natural gas steam reforming,2040,0.14232312
