,Units,scenario,region,input,Year,value
0,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2025,0.00180946439
1,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2030,0.012438867562000001
2,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2035,0.04106438893100001
3,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2040,0.080879257451
4,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2045,0.12768086979999999
5,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2050,0.1804590348999999
6,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2055,0.23277788090000007
7,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2060,0.28833073109999996
8,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2065,0.3510653378999999
9,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2070,0.4246854490000001
10,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2075,0.510738241
11,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2080,0.6066990719999998
12,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2085,0.706089906
13,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2090,0.8075204769999998
14,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2095,0.9069507020000002
15,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2100,0.9973095020000002
16,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2025,0.000136252
17,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2030,0.000583966
18,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2035,0.0014918631859
19,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2040,0.002673753214
20,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2045,0.0056144886
21,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2050,0.014720140999999999
22,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2055,0.030927298000000002
23,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2060,0.061373512
24,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2065,0.10977013999999999
25,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2070,0.17781845
26,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2075,0.25882577
27,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2080,0.34356756000000005
28,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2085,0.42209477
29,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2090,0.4986135
30,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2095,0.56388716
31,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,H2,2100,0.62562496
32,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2005,1.819983e-05
33,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2010,4.13996e-05
34,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2015,4.07995e-05
35,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2020,5.38501e-05
36,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2025,0.012985798661490001
37,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2030,0.0603639417259
38,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2035,0.134575461488646
39,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2040,0.23687266634799398
40,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2045,0.36597862363969996
41,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2050,0.525164693463
42,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2055,0.6946343336999998
43,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2060,0.881961453
44,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2065,1.0962841298
45,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2070,1.3451545262999995
46,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2075,1.6244737452000004
47,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2080,1.9213694088
48,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2085,2.2113393454
49,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2090,2.4927369372
50,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2095,2.754434092800001
51,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Electricity,2100,2.9992811764999994
52,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Refined Liquids,2005,0.7827326299999999
53,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Refined Liquids,2010,0.93777727
54,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Refined Liquids,2015,1.3124999699999997
55,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Refined Liquids,2020,1.6545307850000004
56,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Refined Liquids,2025,2.0326249339999998
57,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Refined Liquids,2030,2.395848999999999
58,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Refined Liquids,2035,2.7591844029999995
59,EJ,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,Refined Liquids,2040,3.210303916
